answer	path	n
seedy	[('soare', '20001', 35), ('clipt', '00000', 4), ('adeem', '01210', 1), ('seedy', '22222', 1)]	4
print	[('soare', '00010', 57), ('glint', '00222', 1), ('print', '22222', 1)]	3
yearn	[('soare', '00221', 9), ('lathy', '01001', 1), ('yearn', '22222', 1)]	3
drain	[('soare', '00210', 40), ('clint', '00110', 3), ('aband', '00211', 1), ('drain', '22222', 1)]	4
bribe	[('soare', '00012', 39), ('pudic', '00010', 7), ('timbo', '01020', 1), ('bribe', '22222', 1)]	4
stout	[('soare', '21000', 37), ('cloot', '00202', 4), ('ethne', '02000', 1), ('stout', '22222', 1)]	4
panel	[('soare', '00101', 68), ('canal', '02202', 1), ('panel', '22222', 1)]	3
crass	[('soare', '10210', 7), ('bachs', '01102', 1), ('crass', '22222', 1)]	3
flume	[('soare', '00002', 79), ('guilt', '01010', 4), ('amped', '01010', 1), ('flume', '22222', 1)]	4
offal	[('soare', '01100', 44), ('cloot', '01100', 1), ('offal', '22222', 1)]	3
agree	[('soare', '00112', 7), ('barca', '01200', 1), ('agree', '22222', 1)]	3
error	[('soare', '01011', 13), ('trued', '02010', 1), ('error', '22222', 1)]	3
swirl	[('soare', '20020', 8), ('hault', '00010', 1), ('swirl', '22222', 1)]	3
argue	[('soare', '00112', 7), ('barca', '01100', 1), ('argue', '22222', 1)]	3
bleed	[('soare', '00001', 120), ('denet', '11020', 2), ('aalii', '00100', 1), ('bleed', '22222', 1)]	4
delta	[('soare', '00101', 68), ('canal', '01001', 4), ('aahed', '10011', 1), ('delta', '22222', 1)]	4
flick	[('soare', '00000', 183), ('clint', '12200', 1), ('flick', '22222', 1)]	3
totem	[('soare', '02001', 26), ('meynt', '11001', 1), ('totem', '22222', 1)]	3
wooer	[('soare', '02011', 22), ('rewth', '11100', 1), ('wooer', '22222', 1)]	3
front	[('soare', '01010', 59), ('cutin', '00101', 1), ('front', '22222', 1)]	3
shrub	[('soare', '20010', 9), ('butch', '11001', 1), ('shrub', '22222', 1)]	3
parry	[('soare', '00120', 11), ('machi', '02000', 1), ('parry', '22222', 1)]	3
biome	[('soare', '01002', 20), ('pling', '00100', 2), ('aahed', '00010', 1), ('biome', '22222', 1)]	4
lapel	[('soare', '00101', 68), ('canal', '02002', 5), ('baghs', '02000', 1), ('lapel', '22222', 1)]	4
start	[('soare', '20220', 11), ('kempt', '00002', 1), ('start', '22222', 1)]	3
greet	[('soare', '00011', 117), ('direr', '00120', 11), ('pence', '01001', 1), ('greet', '22222', 1)]	4
goner	[('soare', '02011', 22), ('rewth', '11000', 9), ('clonk', '00110', 1), ('goner', '22222', 1)]	4
golem	[('soare', '02001', 26), ('meynt', '11000', 1), ('golem', '22222', 1)]	3
lusty	[('soare', '10000', 33), ('hists', '00220', 4), ('algid', '01000', 1), ('lusty', '22222', 1)]	4
loopy	[('soare', '02000', 87), ('culty', '00102', 6), ('adown', '00200', 1), ('loopy', '22222', 1)]	4
round	[('soare', '02010', 26), ('cyton', '00011', 1), ('round', '22222', 1)]	3
audit	[('soare', '00100', 138), ('clint', '00102', 3), ('abamp', '20000', 1), ('audit', '22222', 1)]	4
lying	[('soare', '00000', 183), ('clint', '01220', 1), ('lying', '22222', 1)]	3
gamma	[('soare', '00100', 138), ('clint', '00000', 15), ('midgy', '10010', 1), ('gamma', '22222', 1)]	4
labor	[('soare', '01110', 27), ('maron', '02120', 5), ('alvar', '11002', 1), ('labor', '22222', 1)]	4
islet	[('soare', '10001', 19), ('uneth', '00110', 3), ('aalii', '00210', 1), ('islet', '22222', 1)]	4
civic	[('soare', '00000', 183), ('clint', '20100', 2), ('aalii', '00021', 1), ('civic', '22222', 1)]	4
forge	[('soare', '02012', 9), ('faugh', '20020', 1), ('forge', '22222', 1)]	3
corny	[('soare', '02010', 26), ('cyton', '21011', 1), ('corny', '22222', 1)]	3
moult	[('soare', '02000', 87), ('culty', '01110', 1), ('moult', '22222', 1)]	3
basic	[('soare', '10100', 23), ('linty', '01000', 3), ('abaca', '11010', 1), ('basic', '22222', 1)]	4
salad	[('soare', '20100', 19), ('dault', '12010', 1), ('salad', '22222', 1)]	3
agate	[('soare', '00202', 28), ('glitz', '10020', 1), ('agate', '22222', 1)]	3
spicy	[('soare', '20000', 63), ('thilk', '00200', 5), ('aguna', '00000', 1), ('spicy', '22222', 1)]	4
spray	[('soare', '20110', 8), ('cuppy', '00102', 1), ('spray', '22222', 1)]	3
essay	[('soare', '10101', 5), ('ajwan', '00020', 1), ('essay', '22222', 1)]	3
fjord	[('soare', '01020', 8), ('acidy', '00010', 1), ('fjord', '22222', 1)]	3
spend	[('soare', '20001', 35), ('clipt', '00010', 4), ('aahed', '00012', 1), ('spend', '22222', 1)]	4
kebab	[('soare', '00101', 68), ('canal', '00020', 4), ('abaft', '11000', 1), ('kebab', '22222', 1)]	4
guild	[('soare', '00000', 183), ('clint', '01200', 3), ('aband', '00002', 1), ('guild', '22222', 1)]	4
aback	[('soare', '00200', 40), ('clink', '10002', 3), ('aahed', '21000', 1), ('aback', '22222', 1)]	4
motor	[('soare', '02010', 26), ('cyton', '00220', 2), ('abamp', '00010', 1), ('motor', '22222', 1)]	4
alone	[('soare', '01102', 8), ('bundt', '00100', 1), ('alone', '22222', 1)]	3
hatch	[('soare', '00100', 138), ('clint', '10001', 6), ('bumpy', '00000', 2), ('ablow', '10000', 1), ('hatch', '22222', 1)]	5
hyper	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '00010', 1), ('hyper', '22222', 1)]	4
thumb	[('soare', '00000', 183), ('clint', '00001', 3), ('abamp', '01020', 1), ('thumb', '22222', 1)]	4
dowry	[('soare', '02020', 6), ('almud', '00001', 1), ('dowry', '22222', 1)]	3
ought	[('soare', '01000', 56), ('clint', '00002', 1), ('ought', '22222', 1)]	3
belch	[('soare', '00001', 120), ('denet', '02000', 7), ('hijab', '10001', 1), ('belch', '22222', 1)]	4
dutch	[('soare', '00000', 183), ('clint', '10001', 3), ('aband', '00001', 1), ('dutch', '22222', 1)]	4
pilot	[('soare', '01000', 56), ('clint', '01102', 1), ('pilot', '22222', 1)]	3
tweed	[('soare', '00001', 120), ('denet', '11021', 1), ('tweed', '22222', 1)]	3
comet	[('soare', '02001', 26), ('meynt', '11002', 1), ('comet', '22222', 1)]	3
jaunt	[('soare', '00100', 138), ('clint', '00022', 6), ('tavah', '12000', 3), ('agood', '10000', 1), ('jaunt', '22222', 1)]	5
enema	[('soare', '00101', 68), ('canal', '01100', 4), ('aahed', '10010', 1), ('enema', '22222', 1)]	4
steed	[('soare', '20001', 35), ('clipt', '00001', 1), ('steed', '22222', 1)]	3
abyss	[('soare', '10100', 23), ('linty', '00001', 1), ('abyss', '22222', 1)]	3
growl	[('soare', '01010', 59), ('cutin', '00000', 12), ('gloop', '21200', 1), ('growl', '22222', 1)]	4
fling	[('soare', '00000', 183), ('clint', '02220', 3), ('abaka', '00000', 1), ('fling', '22222', 1)]	4
dozen	[('soare', '02001', 26), ('meynt', '01010', 5), ('navew', '10020', 1), ('dozen', '22222', 1)]	4
boozy	[('soare', '02000', 87), ('culty', '00002', 15), ('geode', '00200', 3), ('abbas', '01000', 1), ('boozy', '22222', 1)]	5
erode	[('soare', '01012', 14), ('pownd', '01001', 2), ('abcee', '00012', 1), ('erode', '22222', 1)]	4
world	[('soare', '02010', 26), ('cyton', '00010', 5), ('abmho', '00001', 1), ('world', '22222', 1)]	4
gouge	[('soare', '02002', 10), ('pugil', '01100', 1), ('gouge', '22222', 1)]	3
click	[('soare', '00000', 183), ('clint', '22200', 3), ('abaca', '00020', 1), ('click', '22222', 1)]	4
briar	[('soare', '00110', 42), ('riyal', '11020', 3), ('abaft', '11000', 1), ('briar', '22222', 1)]	4
great	[('soare', '00111', 61), ('talar', '10021', 1), ('great', '22222', 1)]	3
altar	[('soare', '00110', 42), ('riyal', '10021', 2), ('aahed', '21000', 1), ('altar', '22222', 1)]	4
pulpy	[('soare', '00000', 183), ('clint', '01000', 8), ('bigly', '00012', 2), ('aalii', '00200', 1), ('pulpy', '22222', 1)]	5
blurt	[('soare', '00020', 13), ('fitch', '00100', 1), ('blurt', '22222', 1)]	3
coast	[('soare', '12200', 3), ('abaca', '00210', 1), ('coast', '22222', 1)]	3
duchy	[('soare', '00000', 183), ('clint', '10000', 2), ('aahed', '00101', 1), ('duchy', '22222', 1)]	4
groin	[('soare', '01010', 59), ('cutin', '00022', 1), ('groin', '22222', 1)]	3
fixer	[('soare', '00011', 117), ('direr', '02022', 13), ('flong', '20000', 2), ('abaca', '00000', 1), ('fixer', '22222', 1)]	5
group	[('soare', '01010', 59), ('cutin', '01000', 3), ('abamp', '00002', 1), ('group', '22222', 1)]	4
rogue	[('soare', '02012', 9), ('faugh', '00110', 1), ('rogue', '22222', 1)]	3
