answer	path	n
opium	[('soare', '01000', 56), ('clint', '00200', 2), ('aahed', '00000', 1), ('opium', '22222', 1)]	4
avert	[('soare', '00121', 5), ('altho', '20100', 1), ('avert', '22222', 1)]	3
stuck	[('soare', '20000', 63), ('thilk', '10002', 2), ('abaca', '00020', 1), ('stuck', '22222', 1)]	4
recut	[('soare', '00011', 117), ('direr', '00110', 8), ('becke', '02200', 1), ('recut', '22222', 1)]	4
mulch	[('soare', '00000', 183), ('clint', '11000', 3), ('aargh', '00002', 1), ('mulch', '22222', 1)]	4
genre	[('soare', '00022', 4), ('abets', '00100', 1), ('genre', '22222', 1)]	3
plume	[('soare', '00002', 79), ('guilt', '01010', 4), ('amped', '01110', 1), ('plume', '22222', 1)]	4
rifle	[('soare', '00012', 39), ('pudic', '00010', 7), ('timbo', '02000', 1), ('rifle', '22222', 1)]	4
count	[('soare', '02000', 87), ('culty', '21010', 1), ('count', '22222', 1)]	3
incur	[('soare', '00010', 57), ('glint', '00110', 1), ('incur', '22222', 1)]	3
total	[('soare', '02100', 21), ('liman', '10020', 3), ('abaft', '10001', 1), ('total', '22222', 1)]	4
wrest	[('soare', '10011', 15), ('richt', '10002', 1), ('wrest', '22222', 1)]	3
mocha	[('soare', '02100', 21), ('liman', '00110', 2), ('aahed', '10100', 1), ('mocha', '22222', 1)]	4
deter	[('soare', '00011', 117), ('direr', '20022', 2), ('aarti', '00110', 1), ('deter', '22222', 1)]	4
study	[('soare', '20000', 63), ('thilk', '10000', 5), ('grypt', '00101', 1), ('study', '22222', 1)]	4
lover	[('soare', '02011', 22), ('rewth', '11000', 9), ('clonk', '01100', 1), ('lover', '22222', 1)]	4
safer	[('soare', '20111', 6), ('enmew', '00020', 1), ('safer', '22222', 1)]	3
rivet	[('soare', '00011', 117), ('direr', '02120', 2), ('aarti', '00111', 1), ('rivet', '22222', 1)]	4
funny	[('soare', '00000', 183), ('clint', '00020', 2), ('abaca', '00000', 1), ('funny', '22222', 1)]	4
smoke	[('soare', '21002', 12), ('knelt', '10100', 2), ('abamp', '00010', 1), ('smoke', '22222', 1)]	4
mound	[('soare', '02000', 87), ('culty', '01000', 8), ('bumph', '01100', 1), ('mound', '22222', 1)]	4
undue	[('soare', '00002', 79), ('guilt', '01000', 3), ('aband', '00011', 1), ('undue', '22222', 1)]	4
sedan	[('soare', '20101', 9), ('knelt', '01100', 1), ('sedan', '22222', 1)]	3
pagan	[('soare', '00100', 138), ('clint', '00010', 6), ('aargh', '12010', 1), ('pagan', '22222', 1)]	4
swine	[('soare', '20002', 23), ('pling', '00220', 2), ('aahed', '00010', 1), ('swine', '22222', 1)]	4
guile	[('soare', '00002', 79), ('guilt', '22220', 1), ('guile', '22222', 1)]	3
gusty	[('soare', '10000', 33), ('hists', '00220', 4), ('algid', '00100', 1), ('gusty', '22222', 1)]	4
equip	[('soare', '00001', 120), ('denet', '01000', 5), ('ahold', '00000', 1), ('equip', '22222', 1)]	4
tough	[('soare', '02000', 87), ('culty', '01010', 4), ('aband', '00000', 1), ('tough', '22222', 1)]	4
canoe	[('soare', '01102', 8), ('bundt', '00200', 1), ('canoe', '22222', 1)]	3
chaos	[('soare', '11200', 1), ('chaos', '22222', 1)]	2
covet	[('soare', '02001', 26), ('meynt', '01002', 1), ('covet', '22222', 1)]	3
human	[('soare', '00100', 138), ('clint', '00010', 6), ('aargh', '10001', 1), ('human', '22222', 1)]	4
udder	[('soare', '00011', 117), ('direr', '10022', 3), ('abuna', '00100', 1), ('udder', '22222', 1)]	4
lunch	[('soare', '00000', 183), ('clint', '11010', 2), ('abaya', '00000', 1), ('lunch', '22222', 1)]	4
blast	[('soare', '10200', 14), ('chals', '00211', 2), ('aarti', '10010', 1), ('blast', '22222', 1)]	4
stray	[('soare', '20110', 8), ('cuppy', '00002', 1), ('stray', '22222', 1)]	3
manga	[('soare', '00100', 138), ('clint', '00010', 6), ('aargh', '12020', 1), ('manga', '22222', 1)]	4
melee	[('soare', '00002', 79), ('guilt', '00010', 2), ('aahed', '00020', 1), ('melee', '22222', 1)]	4
lefty	[('soare', '00001', 120), ('denet', '02001', 5), ('aleph', '01100', 1), ('lefty', '22222', 1)]	4
quick	[('soare', '00000', 183), ('clint', '10200', 3), ('aduki', '00111', 1), ('quick', '22222', 1)]	4
paste	[('soare', '10102', 15), ('thump', '10001', 1), ('paste', '22222', 1)]	3
given	[('soare', '00001', 120), ('denet', '00120', 5), ('agila', '01100', 1), ('given', '22222', 1)]	4
octet	[('soare', '01001', 25), ('lento', '01011', 1), ('octet', '22222', 1)]	3
risen	[('soare', '10011', 15), ('richt', '22000', 2), ('aband', '00010', 1), ('risen', '22222', 1)]	4
groan	[('soare', '01110', 27), ('maron', '01112', 2), ('abohm', '10200', 1), ('groan', '22222', 1)]	4
leaky	[('soare', '00201', 21), ('depth', '02000', 3), ('afald', '00210', 1), ('leaky', '22222', 1)]	4
grind	[('soare', '00010', 57), ('glint', '20220', 1), ('grind', '22222', 1)]	3
carve	[('soare', '00112', 7), ('barca', '02210', 1), ('carve', '22222', 1)]	3
loose	[('soare', '12002', 11), ('pilum', '00100', 1), ('loose', '22222', 1)]	3
sadly	[('soare', '20100', 19), ('dault', '12020', 1), ('sadly', '22222', 1)]	3
spilt	[('soare', '20000', 63), ('thilk', '10220', 3), ('ampul', '00101', 1), ('spilt', '22222', 1)]	4
apple	[('soare', '00102', 40), ('gault', '01020', 4), ('abamp', '20001', 1), ('apple', '22222', 1)]	4
slack	[('soare', '20200', 41), ('thilk', '00012', 1), ('slack', '22222', 1)]	3
honey	[('soare', '02001', 26), ('meynt', '01110', 2), ('aahed', '00120', 1), ('honey', '22222', 1)]	4
final	[('soare', '00100', 138), ('clint', '01110', 3), ('aalii', '10110', 1), ('final', '22222', 1)]	4
sheen	[('soare', '20001', 35), ('clipt', '00000', 4), ('adeem', '00220', 1), ('sheen', '22222', 1)]	4
eerie	[('soare', '00012', 39), ('pudic', '00020', 1), ('eerie', '22222', 1)]	3
minty	[('soare', '00000', 183), ('clint', '00111', 2), ('aahed', '00000', 1), ('minty', '22222', 1)]	4
slick	[('soare', '20000', 63), ('thilk', '00212', 2), ('abaca', '00020', 1), ('slick', '22222', 1)]	4
derby	[('soare', '00011', 117), ('direr', '20210', 1), ('derby', '22222', 1)]	3
wharf	[('soare', '00220', 13), ('dhuti', '02000', 2), ('abaca', '00200', 1), ('wharf', '22222', 1)]	4
spelt	[('soare', '20001', 35), ('clipt', '01012', 1), ('spelt', '22222', 1)]	3
coach	[('soare', '02200', 5), ('acyls', '11000', 1), ('coach', '22222', 1)]	3
erupt	[('soare', '00011', 117), ('direr', '00110', 8), ('becke', '01000', 1), ('erupt', '22222', 1)]	4
singe	[('soare', '20002', 23), ('pling', '00111', 1), ('singe', '22222', 1)]	3
price	[('soare', '00012', 39), ('pudic', '20011', 1), ('price', '22222', 1)]	3
spawn	[('soare', '20200', 41), ('thilk', '00000', 4), ('aswim', '11100', 1), ('spawn', '22222', 1)]	4
fairy	[('soare', '00120', 11), ('machi', '02001', 2), ('aahed', '02000', 1), ('fairy', '22222', 1)]	4
jiffy	[('soare', '00000', 183), ('clint', '00100', 10), ('fudgy', '10002', 1), ('jiffy', '22222', 1)]	4
filmy	[('soare', '00000', 183), ('clint', '01100', 14), ('muled', '10200', 1), ('filmy', '22222', 1)]	4
stack	[('soare', '20200', 41), ('thilk', '10002', 2), ('abaca', '00220', 1), ('stack', '22222', 1)]	4
chose	[('soare', '11002', 5), ('aitch', '00011', 1), ('chose', '22222', 1)]	3
sleep	[('soare', '20001', 35), ('clipt', '02010', 1), ('sleep', '22222', 1)]	3
ardor	[('soare', '01110', 27), ('maron', '01120', 4), ('abaca', '20000', 1), ('ardor', '22222', 1)]	4
nanny	[('soare', '00100', 138), ('clint', '00020', 3), ('abaft', '10000', 1), ('nanny', '22222', 1)]	4
niece	[('soare', '00002', 79), ('guilt', '00100', 6), ('enmew', '11010', 1), ('niece', '22222', 1)]	4
woozy	[('soare', '02000', 87), ('culty', '00002', 15), ('geode', '00200', 3), ('abbas', '00000', 1), ('woozy', '22222', 1)]	5
handy	[('soare', '00100', 138), ('clint', '00010', 6), ('aargh', '02001', 1), ('handy', '22222', 1)]	4
grace	[('soare', '00212', 19), ('diact', '00220', 2), ('aargh', '10110', 1), ('grace', '22222', 1)]	4
ditto	[('soare', '01000', 56), ('clint', '00101', 1), ('ditto', '22222', 1)]	3
stank	[('soare', '20200', 41), ('thilk', '10002', 2), ('abaca', '00200', 1), ('stank', '22222', 1)]	4
cream	[('soare', '00111', 61), ('talar', '00021', 11), ('becke', '01100', 1), ('cream', '22222', 1)]	4
usual	[('soare', '10100', 23), ('linty', '10000', 2), ('aahed', '10000', 1), ('usual', '22222', 1)]	4
diode	[('soare', '01002', 20), ('pling', '00100', 2), ('aahed', '00011', 1), ('diode', '22222', 1)]	4
valor	[('soare', '01110', 27), ('maron', '02120', 5), ('alvar', '11102', 1), ('valor', '22222', 1)]	4
angle	[('soare', '00102', 40), ('gault', '11020', 2), ('aalii', '20100', 1), ('angle', '22222', 1)]	4
ninja	[('soare', '00100', 138), ('clint', '00110', 3), ('aahed', '10000', 1), ('ninja', '22222', 1)]	4
muddy	[('soare', '00000', 183), ('clint', '00000', 15), ('gimpy', '00102', 1), ('muddy', '22222', 1)]	4
chase	[('soare', '10202', 7), ('leuch', '01011', 1), ('chase', '22222', 1)]	3
reply	[('soare', '00011', 117), ('direr', '00110', 8), ('becke', '02000', 1), ('reply', '22222', 1)]	4
prone	[('soare', '01012', 14), ('pownd', '21020', 1), ('prone', '22222', 1)]	3
spoil	[('soare', '21000', 37), ('cloot', '01200', 1), ('spoil', '22222', 1)]	3
heart	[('soare', '00221', 9), ('lathy', '01110', 1), ('heart', '22222', 1)]	3
shade	[('soare', '20202', 19), ('thilk', '02000', 4), ('amped', '10011', 1), ('shade', '22222', 1)]	4
diner	[('soare', '00011', 117), ('direr', '22022', 2), ('aband', '00011', 1), ('diner', '22222', 1)]	4
arson	[('soare', '11110', 1), ('arson', '22222', 1)]	2
onion	[('soare', '01000', 56), ('clint', '00210', 2), ('aboon', '00122', 1), ('onion', '22222', 1)]	4
sleet	[('soare', '20001', 35), ('clipt', '02002', 1), ('sleet', '22222', 1)]	3
dowel	[('soare', '02001', 26), ('meynt', '01000', 4), ('advew', '01021', 1), ('dowel', '22222', 1)]	4
couch	[('soare', '02000', 87), ('culty', '21000', 2), ('aargh', '00002', 1), ('couch', '22222', 1)]	4
palsy	[('soare', '10100', 23), ('linty', '10002', 1), ('palsy', '22222', 1)]	3
bowel	[('soare', '02001', 26), ('meynt', '01000', 4), ('advew', '00021', 1), ('bowel', '22222', 1)]	4
smile	[('soare', '20002', 23), ('pling', '01200', 1), ('smile', '22222', 1)]	3
evoke	[('soare', '01002', 20), ('pling', '00000', 3), ('abcee', '00012', 1), ('evoke', '22222', 1)]	4
creek	[('soare', '00011', 117), ('direr', '00120', 11), ('pence', '01011', 1), ('creek', '22222', 1)]	4
lance	[('soare', '00102', 40), ('gault', '02010', 3), ('achar', '11000', 1), ('lance', '22222', 1)]	4
eagle	[('soare', '00102', 40), ('gault', '12020', 1), ('eagle', '22222', 1)]	3
idiot	[('soare', '01000', 56), ('clint', '00202', 1), ('idiot', '22222', 1)]	3
siren	[('soare', '20011', 13), ('newie', '11010', 1), ('siren', '22222', 1)]	3
built	[('soare', '00000', 183), ('clint', '01202', 3), ('baghs', '20000', 1), ('built', '22222', 1)]	4
embed	[('soare', '00001', 120), ('denet', '11020', 2), ('aalii', '00000', 1), ('embed', '22222', 1)]	4
award	[('soare', '00220', 13), ('dhuti', '10000', 1), ('award', '22222', 1)]	3
dross	[('soare', '11010', 5), ('acids', '00012', 1), ('dross', '22222', 1)]	3
annul	[('soare', '00100', 138), ('clint', '01010', 5), ('abaka', '20000', 1), ('annul', '22222', 1)]	4
goody	[('soare', '02000', 87), ('culty', '00002', 15), ('geode', '20220', 1), ('goody', '22222', 1)]	4
frown	[('soare', '01010', 59), ('cutin', '00002', 4), ('befog', '00110', 1), ('frown', '22222', 1)]	4
patio	[('soare', '01100', 44), ('cloot', '00101', 2), ('aalii', '02020', 1), ('patio', '22222', 1)]	4
laden	[('soare', '00101', 68), ('canal', '02101', 1), ('laden', '22222', 1)]	3
humid	[('soare', '00000', 183), ('clint', '00100', 10), ('fudgy', '02100', 1), ('humid', '22222', 1)]	4
elite	[('soare', '00002', 79), ('guilt', '00211', 1), ('elite', '22222', 1)]	3
lymph	[('soare', '00000', 183), ('clint', '01000', 8), ('bigly', '00011', 1), ('lymph', '22222', 1)]	4
edify	[('soare', '00001', 120), ('denet', '11000', 4), ('alway', '00002', 1), ('edify', '22222', 1)]	4
might	[('soare', '00000', 183), ('clint', '00102', 5), ('aswim', '00011', 1), ('might', '22222', 1)]	4
reset	[('soare', '10011', 15), ('richt', '20002', 1), ('reset', '22222', 1)]	3
visit	[('soare', '10000', 33), ('hists', '02210', 1), ('visit', '22222', 1)]	3
gusto	[('soare', '11000', 7), ('agloo', '01002', 1), ('gusto', '22222', 1)]	3
purse	[('soare', '10012', 7), ('centu', '01001', 1), ('purse', '22222', 1)]	3
vapor	[('soare', '01110', 27), ('maron', '02120', 5), ('alvar', '10102', 1), ('vapor', '22222', 1)]	4
crock	[('soare', '01010', 59), ('cutin', '20000', 3), ('ablow', '00010', 1), ('crock', '22222', 1)]	4
write	[('soare', '00012', 39), ('pudic', '00010', 7), ('timbo', '11000', 1), ('write', '22222', 1)]	4
sunny	[('soare', '20000', 63), ('thilk', '00000', 3), ('abuna', '00120', 1), ('sunny', '22222', 1)]	4
loath	[('soare', '02200', 5), ('acyls', '10010', 1), ('loath', '22222', 1)]	3
chaff	[('soare', '00200', 40), ('clink', '20000', 2), ('abaft', '00220', 1), ('chaff', '22222', 1)]	4
slide	[('soare', '20002', 23), ('pling', '02200', 3), ('ached', '00011', 1), ('slide', '22222', 1)]	4
queer	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '02000', 1), ('queer', '22222', 1)]	4
venom	[('soare', '01001', 25), ('lento', '02201', 1), ('venom', '22222', 1)]	3
stamp	[('soare', '20200', 41), ('thilk', '10000', 4), ('adman', '10100', 1), ('stamp', '22222', 1)]	4
sorry	[('soare', '22020', 1), ('sorry', '22222', 1)]	2
still	[('soare', '20000', 63), ('thilk', '10220', 3), ('ampul', '00002', 1), ('still', '22222', 1)]	4
acorn	[('soare', '01120', 6), ('abaca', '20010', 1), ('acorn', '22222', 1)]	3
aping	[('soare', '00100', 138), ('clint', '00220', 2), ('abamp', '20001', 1), ('aping', '22222', 1)]	4
pushy	[('soare', '10000', 33), ('hists', '10200', 3), ('abamp', '00001', 1), ('pushy', '22222', 1)]	4
tamer	[('soare', '00111', 61), ('talar', '22002', 3), ('abamp', '10010', 1), ('tamer', '22222', 1)]	4
hater	[('soare', '00111', 61), ('talar', '12002', 4), ('cahow', '02100', 1), ('hater', '22222', 1)]	4
mania	[('soare', '00100', 138), ('clint', '00110', 3), ('aahed', '12000', 1), ('mania', '22222', 1)]	4
awoke	[('soare', '01102', 8), ('bundt', '00000', 1), ('awoke', '22222', 1)]	3
brawn	[('soare', '00210', 40), ('clint', '00010', 3), ('abamp', '01200', 1), ('brawn', '22222', 1)]	4
swift	[('soare', '20000', 63), ('thilk', '10200', 4), ('abaft', '00022', 1), ('swift', '22222', 1)]	4
exile	[('soare', '00002', 79), ('guilt', '00220', 2), ('aahed', '00010', 1), ('exile', '22222', 1)]	4
birch	[('soare', '00010', 57), ('glint', '00100', 2), ('aahed', '00100', 1), ('birch', '22222', 1)]	4
lucky	[('soare', '00000', 183), ('clint', '11000', 3), ('aargh', '00000', 1), ('lucky', '22222', 1)]	4
freer	[('soare', '00011', 117), ('direr', '00122', 4), ('abele', '00201', 1), ('freer', '22222', 1)]	4
risky	[('soare', '10010', 16), ('cruft', '01000', 1), ('risky', '22222', 1)]	3
ghost	[('soare', '11000', 7), ('agloo', '01010', 1), ('ghost', '22222', 1)]	3
plier	[('soare', '00011', 117), ('direr', '01022', 5), ('aleft', '02100', 1), ('plier', '22222', 1)]	4
lunar	[('soare', '00110', 42), ('riyal', '10021', 2), ('aahed', '10000', 1), ('lunar', '22222', 1)]	4
winch	[('soare', '00000', 183), ('clint', '10110', 3), ('cowps', '10100', 1), ('winch', '22222', 1)]	4
snare	[('soare', '20222', 5), ('chapt', '00200', 1), ('snare', '22222', 1)]	3
nurse	[('soare', '10012', 7), ('centu', '01101', 1), ('nurse', '22222', 1)]	3
house	[('soare', '12002', 11), ('pilum', '00010', 1), ('house', '22222', 1)]	3
borax	[('soare', '02110', 8), ('malty', '01000', 1), ('borax', '22222', 1)]	3
nicer	[('soare', '00011', 117), ('direr', '02022', 13), ('flong', '00010', 2), ('abaca', '00010', 1), ('nicer', '22222', 1)]	5
lurch	[('soare', '00010', 57), ('glint', '01000', 5), ('bardy', '00200', 1), ('lurch', '22222', 1)]	4
exalt	[('soare', '00201', 21), ('depth', '01010', 3), ('acing', '10000', 1), ('exalt', '22222', 1)]	4
about	[('soare', '01100', 44), ('cloot', '00202', 2), ('aahed', '20000', 1), ('about', '22222', 1)]	4
savvy	[('soare', '20100', 19), ('dault', '02000', 3), ('apish', '10010', 1), ('savvy', '22222', 1)]	4
toxin	[('soare', '02000', 87), ('culty', '00010', 5), ('compt', '02001', 1), ('toxin', '22222', 1)]	4
tunic	[('soare', '00000', 183), ('clint', '10111', 1), ('tunic', '22222', 1)]	3
pried	[('soare', '00011', 117), ('direr', '11120', 4), ('capot', '00100', 1), ('pried', '22222', 1)]	4
inlay	[('soare', '00100', 138), ('clint', '01110', 3), ('aalii', '10210', 1), ('inlay', '22222', 1)]	4
chump	[('soare', '00000', 183), ('clint', '20000', 2), ('abaca', '00010', 1), ('chump', '22222', 1)]	4
lanky	[('soare', '00100', 138), ('clint', '01010', 5), ('abaka', '10020', 1), ('lanky', '22222', 1)]	4
cress	[('soare', '10011', 15), ('richt', '10100', 1), ('cress', '22222', 1)]	3
eater	[('soare', '00111', 61), ('talar', '12002', 4), ('cahow', '02000', 1), ('eater', '22222', 1)]	4
elude	[('soare', '00002', 79), ('guilt', '01010', 4), ('amped', '00011', 1), ('elude', '22222', 1)]	4
cycle	[('soare', '00002', 79), ('guilt', '00020', 2), ('aalii', '00100', 1), ('cycle', '22222', 1)]	4
kitty	[('soare', '00000', 183), ('clint', '00101', 9), ('wifty', '02022', 3), ('abaka', '00010', 1), ('kitty', '22222', 1)]	5
boule	[('soare', '02002', 10), ('pugil', '01001', 1), ('boule', '22222', 1)]	3
moron	[('soare', '02010', 26), ('cyton', '00022', 1), ('moron', '22222', 1)]	3
tenet	[('soare', '00001', 120), ('denet', '02222', 1), ('tenet', '22222', 1)]	3
place	[('soare', '00202', 28), ('glitz', '02000', 6), ('clomb', '12000', 1), ('place', '22222', 1)]	4
lobby	[('soare', '02000', 87), ('culty', '00102', 6), ('adown', '00100', 1), ('lobby', '22222', 1)]	4
plush	[('soare', '10000', 33), ('hists', '10100', 3), ('abaft', '00000', 1), ('plush', '22222', 1)]	4
vigil	[('soare', '00000', 183), ('clint', '01100', 14), ('muled', '00100', 1), ('vigil', '22222', 1)]	4
index	[('soare', '00001', 120), ('denet', '10120', 4), ('aswim', '00010', 1), ('index', '22222', 1)]	4
blink	[('soare', '00000', 183), ('clint', '02220', 3), ('abaka', '01010', 1), ('blink', '22222', 1)]	4
clung	[('soare', '00000', 183), ('clint', '22020', 1), ('clung', '22222', 1)]	3
qualm	[('soare', '00200', 40), ('clink', '01000', 1), ('qualm', '22222', 1)]	3
croup	[('soare', '01010', 59), ('cutin', '21000', 1), ('croup', '22222', 1)]	3
clink	[('soare', '00000', 183), ('clint', '22220', 2), ('aargh', '00000', 1), ('clink', '22222', 1)]	4
juicy	[('soare', '00000', 183), ('clint', '10200', 3), ('aduki', '00101', 1), ('juicy', '22222', 1)]	4
stage	[('soare', '20202', 19), ('thilk', '10000', 3), ('agave', '01202', 1), ('stage', '22222', 1)]	4
decay	[('soare', '00101', 68), ('canal', '10020', 1), ('decay', '22222', 1)]	3
nerve	[('soare', '00012', 39), ('pudic', '00000', 6), ('bevvy', '02020', 1), ('nerve', '22222', 1)]	4
flier	[('soare', '00011', 117), ('direr', '01022', 5), ('aleft', '02110', 1), ('flier', '22222', 1)]	4
shaft	[('soare', '20200', 41), ('thilk', '12000', 1), ('shaft', '22222', 1)]	3
crook	[('soare', '01010', 59), ('cutin', '20000', 3), ('ablow', '00020', 1), ('crook', '22222', 1)]	4
clean	[('soare', '00101', 68), ('canal', '20121', 1), ('clean', '22222', 1)]	3
china	[('soare', '00100', 138), ('clint', '20220', 1), ('china', '22222', 1)]	3
ridge	[('soare', '00012', 39), ('pudic', '00210', 1), ('ridge', '22222', 1)]	3
vowel	[('soare', '02001', 26), ('meynt', '01000', 4), ('advew', '00121', 1), ('vowel', '22222', 1)]	4
gnome	[('soare', '01002', 20), ('pling', '00011', 1), ('gnome', '22222', 1)]	3
snuck	[('soare', '20000', 63), ('thilk', '00002', 3), ('akene', '01010', 1), ('snuck', '22222', 1)]	4
icing	[('soare', '00000', 183), ('clint', '10220', 1), ('icing', '22222', 1)]	3
spiny	[('soare', '20000', 63), ('thilk', '00200', 5), ('aguna', '00020', 1), ('spiny', '22222', 1)]	4
rigor	[('soare', '01010', 59), ('cutin', '00010', 4), ('airer', '02102', 1), ('rigor', '22222', 1)]	4
snail	[('soare', '20200', 41), ('thilk', '00110', 2), ('aboil', '10022', 1), ('snail', '22222', 1)]	4
flown	[('soare', '01000', 56), ('clint', '02010', 2), ('abaca', '00000', 1), ('flown', '22222', 1)]	4
rabid	[('soare', '00110', 42), ('riyal', '21010', 4), ('abaci', '11001', 1), ('rabid', '22222', 1)]	4
prose	[('soare', '11012', 1), ('prose', '22222', 1)]	2
thank	[('soare', '00200', 40), ('clink', '00022', 1), ('thank', '22222', 1)]	3
poppy	[('soare', '02000', 87), ('culty', '00002', 15), ('geode', '00100', 3), ('abash', '00000', 1), ('poppy', '22222', 1)]	5
budge	[('soare', '00002', 79), ('guilt', '12000', 5), ('aband', '01001', 1), ('budge', '22222', 1)]	4
fiber	[('soare', '00011', 117), ('direr', '02022', 13), ('flong', '20000', 2), ('abaca', '01000', 1), ('fiber', '22222', 1)]	5
moldy	[('soare', '02000', 87), ('culty', '00202', 6), ('defog', '10010', 1), ('moldy', '22222', 1)]	4
dowdy	[('soare', '02000', 87), ('culty', '00002', 15), ('geode', '00120', 2), ('aahed', '00001', 1), ('dowdy', '22222', 1)]	5
kneel	[('soare', '00001', 120), ('denet', '01120', 2), ('aalii', '00100', 1), ('kneel', '22222', 1)]	4
track	[('soare', '00210', 40), ('clint', '10001', 1), ('track', '22222', 1)]	3
caddy	[('soare', '00100', 138), ('clint', '20000', 2), ('aahed', '02001', 1), ('caddy', '22222', 1)]	4
quell	[('soare', '00001', 120), ('denet', '01000', 5), ('ahold', '00020', 1), ('quell', '22222', 1)]	4
dumpy	[('soare', '00000', 183), ('clint', '00000', 15), ('gimpy', '00222', 2), ('aahed', '00001', 1), ('dumpy', '22222', 1)]	5
paler	[('soare', '00111', 61), ('talar', '02202', 2), ('abaca', '10000', 1), ('paler', '22222', 1)]	4
swore	[('soare', '21022', 6), ('cwtch', '02000', 1), ('swore', '22222', 1)]	3
rebar	[('soare', '00111', 61), ('talar', '00022', 3), ('aband', '11000', 1), ('rebar', '22222', 1)]	4
scuba	[('soare', '20100', 19), ('dault', '01200', 1), ('scuba', '22222', 1)]	3
splat	[('soare', '20100', 19), ('dault', '01012', 1), ('splat', '22222', 1)]	3
flyer	[('soare', '00011', 117), ('direr', '00022', 21), ('butyl', '00011', 1), ('flyer', '22222', 1)]	4
horny	[('soare', '02010', 26), ('cyton', '01011', 1), ('horny', '22222', 1)]	3
mason	[('soare', '11100', 3), ('aalii', '02000', 1), ('mason', '22222', 1)]	3
doing	[('soare', '02000', 87), ('culty', '00000', 3), ('aband', '00021', 1), ('doing', '22222', 1)]	4
ozone	[('soare', '01002', 20), ('pling', '00020', 1), ('ozone', '22222', 1)]	3
amply	[('soare', '00100', 138), ('clint', '01000', 12), ('dampy', '01112', 1), ('amply', '22222', 1)]	4
molar	[('soare', '02110', 8), ('malty', '21200', 1), ('molar', '22222', 1)]	3
ovary	[('soare', '01220', 1), ('ovary', '22222', 1)]	2
beset	[('soare', '10001', 19), ('uneth', '00110', 3), ('aalii', '00000', 1), ('beset', '22222', 1)]	4
queue	[('soare', '00002', 79), ('guilt', '02000', 2), ('aahed', '00010', 1), ('queue', '22222', 1)]	4
cliff	[('soare', '00000', 183), ('clint', '22200', 3), ('abaca', '00010', 1), ('cliff', '22222', 1)]	4
magic	[('soare', '00100', 138), ('clint', '10100', 1), ('magic', '22222', 1)]	3
truce	[('soare', '00012', 39), ('pudic', '01001', 1), ('truce', '22222', 1)]	3
sport	[('soare', '21020', 10), ('nicht', '00002', 1), ('sport', '22222', 1)]	3
fritz	[('soare', '00010', 57), ('glint', '00201', 2), ('aarti', '00121', 1), ('fritz', '22222', 1)]	4
edict	[('soare', '00001', 120), ('denet', '11002', 1), ('edict', '22222', 1)]	3
twirl	[('soare', '00020', 13), ('fitch', '01100', 1), ('twirl', '22222', 1)]	3
verse	[('soare', '10012', 7), ('centu', '02000', 1), ('verse', '22222', 1)]	3
llama	[('soare', '00200', 40), ('clink', '02000', 2), ('abamp', '10220', 1), ('llama', '22222', 1)]	4
eaten	[('soare', '00101', 68), ('canal', '02100', 4), ('aitch', '10200', 1), ('eaten', '22222', 1)]	4
range	[('soare', '00112', 7), ('barca', '02100', 1), ('range', '22222', 1)]	3
whisk	[('soare', '10000', 33), ('hists', '11100', 1), ('whisk', '22222', 1)]	3
hovel	[('soare', '02001', 26), ('meynt', '01000', 4), ('advew', '00220', 1), ('hovel', '22222', 1)]	4
rehab	[('soare', '00111', 61), ('talar', '00021', 11), ('becke', '12000', 1), ('rehab', '22222', 1)]	4
macaw	[('soare', '00100', 138), ('clint', '10000', 2), ('aahed', '12000', 1), ('macaw', '22222', 1)]	4
sigma	[('soare', '20100', 19), ('dault', '01000', 1), ('sigma', '22222', 1)]	3
spout	[('soare', '21000', 37), ('cloot', '00202', 4), ('ethne', '01000', 1), ('spout', '22222', 1)]	4
verve	[('soare', '00012', 39), ('pudic', '00000', 6), ('bevvy', '02120', 1), ('verve', '22222', 1)]	4
sushi	[('soare', '20000', 63), ('thilk', '01100', 1), ('sushi', '22222', 1)]	3
dying	[('soare', '00000', 183), ('clint', '00220', 3), ('aahed', '00001', 1), ('dying', '22222', 1)]	4
fetid	[('soare', '00001', 120), ('denet', '12001', 3), ('acted', '00212', 1), ('fetid', '22222', 1)]	4
brain	[('soare', '00210', 40), ('clint', '00110', 3), ('aband', '01210', 1), ('brain', '22222', 1)]	4
buddy	[('soare', '00000', 183), ('clint', '00000', 15), ('gimpy', '00002', 2), ('aahed', '00001', 1), ('buddy', '22222', 1)]	5
thump	[('soare', '00000', 183), ('clint', '00001', 3), ('abamp', '00022', 1), ('thump', '22222', 1)]	4
scion	[('soare', '21000', 37), ('cloot', '10020', 1), ('scion', '22222', 1)]	3
candy	[('soare', '00100', 138), ('clint', '20010', 1), ('candy', '22222', 1)]	3
chord	[('soare', '01020', 8), ('acidy', '01010', 1), ('chord', '22222', 1)]	3
basin	[('soare', '10100', 23), ('linty', '01100', 1), ('basin', '22222', 1)]	3
march	[('soare', '00110', 42), ('riyal', '10010', 4), ('abaka', '10000', 1), ('march', '22222', 1)]	4
crowd	[('soare', '01010', 59), ('cutin', '20000', 3), ('ablow', '00011', 1), ('crowd', '22222', 1)]	4
